104,After Yang,90,70,83,"['Sci-Fi', 'Drama']",PG,1h 41m,2021,"['Colin Farrell', 'Jodie Turner-Smith', 'Justin H. Min', 'Malea Emma Tjandrawidjaja', 'Haley Lu Richardson']",['Kogonada']
105,The Tender Bar,51,69,57,"['Comedy', 'Drama']",R,1h 46m,2021,"['Ben Affleck', 'Tye Sheridan', 'Lily Rabe', 'Christopher Lloyd', 'Max Martini']",['George Clooney']
106,Mrs. Harris Goes to Paris,94,93,93,"['Comedy', 'Drama']",PG,1h 55m,2022,"['Lesley Manville', 'Isabelle Huppert', 'Jason Isaacs', 'Anna Chancellor', 'Lambert Wilson']",['Anthony Fabian']
107,Bullet Proof,33,58,41,"['Action', 'Mystery & Thriller']",R,1h 32m,2022,"['Vinnie Jones', 'Lina Lecompte', 'James Clayton', 'Janvier Katabarwa', 'Danny Mac']",['James Clayton 2']
108,Tall Girl 2,63,26,50,['Comedy'],PG,1h 37m,2022,"['Ava Michelle', 'Griffin Gluck', 'Steve Zahn', 'Angela Kinsey', 'Sabrina Carpenter']",['Emily Ting']
109,Lullaby,100,81,93,['Drama'],,1h 44m,2022,"['Laia Costa', 'Susi Sánchez', 'Ramón Barea', 'Mikel Bustamante', 'Alauda Ruiz De Azúa']",['Alauda Ruiz De Azua']
110,The In Between,64,78,68,"['Romance', 'Drama', 'Sci-Fi']",PG-13,1h 55m,2022,"['Joey King', 'Kyle Allen', 'Kim Dickens', ""Celeste O'Connor"", 'John Ortiz']",['Arie Posin']
111,God's Creatures,89,58,78,"['Mystery & Thriller', 'Drama']",R,1h 40m,2022,"['Emily Watson', 'Paul Mescal', 'Aisling Franciosi', 'Declan Conlon', ""Toni O'Rourke""]","['Saela Davis', 'Anna Rose Holmer']"
112,The Lost Girls,13,18,14,"['Fantasy', 'Drama']",,1h 47m,2022,"['Livia De Paolis', 'Joely Richardson', 'Vanessa Redgrave', 'Julian Ovenden', 'Parker Sawyers']",['Livia De Paolis']
113,Emergency Declaration,63,79,68,"['Action', 'Drama', 'Mystery & Thriller']",,2h 18m,2021,"['Song Kang-ho', 'Lee Byung-hun', 'Jeon Do-yeon', 'Kim Nam-gil', 'Im Si-wan']",['Han Jae Rim']
114,American Siege,8,91,35,"['Action', 'Mystery & Thriller']",R,1h 31m,2021,"['Bruce Willis', 'Rob Gough', 'Timothy V. Murphy', 'Johann Urb', 'Anna Hindman']",['Edward Drake']
115,Hawa,88,93,89,"['Kids & Family', 'Comedy', 'Drama']",,1h 44m,2022,"['Sania Halifa', 'Oumou Sangaré', 'Titouan Gerbier', 'Jérôme Pouly', 'Yseult']",['Maimouna Doucoure']
116,Weird: The Al Yankovic Story,84,80,82,"['Biography', 'Comedy', 'Music']",,1h 48m,2022,"['Daniel Radcliffe', 'Evan Rachel Wood', 'Rainn Wilson', 'Julianne Nicholson', 'Thomas Lennon']",['Eric Appel']
117,Spirit Halloween: The Movie,54,52,53,"['Kids & Family', 'Holiday', 'Fantasy', 'Adventure']",,1h 27m,2022,"['Christopher Lloyd', 'Rachael Leigh Cook', 'Donovan Colan', 'Marissa Reyes', 'Jaiden Smith']",['David Poag']
118,Snow Day,29,27,28,"['Kids & Family', 'Comedy']",PG,1h 29m,2000,"['Chris Elliott', 'Mark Webber', 'Jean Smart', 'Schuyler Fisk', 'Iggy Pop']",['Chris Koch']
119,The Stepfather,13,34,20,"['Mystery & Thriller', 'Horror']",PG-13,1h 41m,2009,"['Dylan Walsh', 'Sela Ward', 'Penn Badgley', 'Amber Heard', 'Jon Tenney']",['Nelson Mccormick']
120,Albatross,54,39,49,['Drama'],,1h 30m,2011,"['Felicity Jones', 'Jessica Brown Findlay', 'Sebastian Koch', 'Julia Ormond', 'Peter Vaughan']",['Niall Maccormick']
121,"I, Challenger",60,100,73,['Comedy'],,1h 38m,2021,"['James Duval', 'Coy Stewart', 'Tina Majorino', 'Margaret Cho', 'MC Lyte']",['Paul Boyd 6']
122,Do Revenge,84,78,82,"['Comedy', 'Mystery & Thriller']",,1h 58m,2022,"['Camila Mendes', 'Maya Hawke', 'Rish Shah', 'Austin Abrams', 'Talia Ryder']",['Jennifer Kaytin Robinson']
123,One Way,53,64,56,"['Action', 'Mystery & Thriller']",R,1h 36m,2022,"['Machine Gun Kelly', 'Storm Reid', 'Drea de Matteo', 'Luis Da Silva Jr.', 'Meagan Holder']",['Andrew Baird']
124,The Fabulous Filipino Brothers,88,88,88,"['Romance', 'Comedy', 'Drama']",,1h 39m,2021,"['Dante Basco', 'Liza Lapira', 'Dionysio Basco', 'Darion Basco', 'Derek Basco']",['Dante Basco']
125,Night's End,45,19,36,['Horror'],,1h 21m,2022,"['Geno Walker', 'Kate Arrington', 'Michael Shannon', 'Daniel Kyri', 'Theo Germaine']",['Jennifer Reeder']
